policy,sources_per_case,cases,mean_time_per_source_s
candidate_041_dynamic_open_route_deferred_cross_view,10,1,360.0268531870554
candidate_041_dynamic_open_route_deferred_cross_view,11,1,292.4795361505973
candidate_041_dynamic_open_route_deferred_cross_view,12,1,310.7173747632157
candidate_041_dynamic_open_route_deferred_cross_view,13,1,280.94811162279944
candidate_041_dynamic_open_route_deferred_cross_view,14,1,259.4746677519048
candidate_041_dynamic_open_route_deferred_cross_view,15,1,293.66882978386536
candidate_041_dynamic_open_route_deferred_cross_view,16,4,247.06678562018766
candidate_043_interface_cost,10,1,360.0268531870554
candidate_043_interface_cost,11,1,292.4795361505973
candidate_043_interface_cost,12,1,310.7173747632157
candidate_043_interface_cost,13,1,280.94811162279944
candidate_043_interface_cost,14,1,259.4746677519048
candidate_043_interface_cost,15,1,293.66882978386536
candidate_043_interface_cost,16,4,243.8593714614147
candidate_044_completion,10,1,342.7906792435337
candidate_044_completion,11,1,286.6478753631364
candidate_044_completion,12,1,289.97681103321503
candidate_044_completion,13,1,255.1584984570001
candidate_044_completion,14,1,248.8023104945576
candidate_044_completion,15,1,274.1721079888048
candidate_044_completion,16,4,231.06325091564284
candidate_045_reception,10,1,359.93874453535756
candidate_045_reception,11,1,292.5768332462823
candidate_045_reception,12,1,311.4628272896626
candidate_045_reception,13,1,280.61235737103493
candidate_045_reception,14,1,261.2796506154992
candidate_045_reception,15,1,279.2629705098505
candidate_045_reception,16,4,243.25716427136047
candidate_046_shared_coverage,10,1,360.65666249220914
candidate_046_shared_coverage,11,1,291.93213569178397
candidate_046_shared_coverage,12,1,310.45824946406213
candidate_046_shared_coverage,13,1,283.36535741544463
candidate_046_shared_coverage,14,1,253.18372587113117
candidate_046_shared_coverage,15,1,273.25586488369083
candidate_046_shared_coverage,16,4,244.95781388352577
candidate_047_probe_refine,10,1,354.79794596925973
candidate_047_probe_refine,11,1,288.1638159394099
candidate_047_probe_refine,12,1,306.621628004939
candidate_047_probe_refine,13,1,278.7935045486675
candidate_047_probe_refine,14,1,253.26654872519856
candidate_047_probe_refine,15,1,273.2583920060216
candidate_047_probe_refine,16,4,238.49078148666706
candidate_048_combined,10,1,337.43157605010776
candidate_048_combined,11,1,287.7488187358201
candidate_048_combined,12,1,289.54696239758107
candidate_048_combined,13,1,255.32056121358198
candidate_048_combined,14,1,234.08190862958463
candidate_048_combined,15,1,261.8713443730113
candidate_048_combined,16,4,233.07496157625192
candidate_049_joint_completion,15,1,264.10838975374355
candidate_049_joint_completion,16,4,227.6967121302103
candidate_050_joint_coverage,15,1,266.841437769492
candidate_050_joint_coverage,16,4,232.7005558436487
candidate_051_ring1140,15,1,282.63536307970827
candidate_051_ring1140,16,4,227.49484213229496
candidate_052_probe40,15,1,263.7750564204102
candidate_052_probe40,16,4,226.81652821997886
