strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
local_eig,0,16,8,16,1.0,True,490.7589986431255,7852.143978290008,5811.143978290009,29055.71989145004,1635.0,327,270,0.8256880733944955,57,0,326,16,16,16,7,7,1319.7617607696632,5568.539420733672,709.2434365832637,7852.143978290008,60,0.07607912400271744
local_eig,1,11,7,11,1.0,True,952.7601323055657,10480.361455361222,7390.361455361221,36951.80727680611,2530.0,506,470,0.9288537549407114,36,0,505,11,11,11,11,11,1046.1378714922928,5798.185277258737,711.09091271852,9643.934005542393,60,0.05808611800603103
local_eig,2,16,6,16,1.0,True,439.3460248433328,7029.536397493325,5120.536397493327,25602.681987466636,1525.0,305,256,0.839344262295082,49,0,304,16,16,16,6,6,1386.009045171286,6695.953102456765,742.4039783730525,7029.536397493325,60,0.0563822460026131
local_eig,3,11,2,11,1.0,True,979.4595753699282,10774.05532906921,7822.055329069208,39110.27664534605,2415.0,483,433,0.8964803312629399,50,0,482,11,11,11,3,3,788.1654115382665,4280.955674429715,1311.8438239587895,7963.459204218884,98,0.08404606400290504
local_eig,4,11,5,11,1.0,True,868.3962121431053,9552.358333574159,6546.358333574159,32731.791667870788,2460.0,492,454,0.9227642276422764,38,0,491,11,11,11,6,6,1656.7451210357262,3555.0088381803025,504.8013426403657,8313.09643512572,40,0.05842542800382944
local_eig,5,14,6,14,1.0,True,734.2881285613054,10280.033799858275,7763.0337998582745,38815.168999291374,2040.0,408,358,0.8774509803921569,50,0,407,14,14,14,4,4,1192.42132909857,5855.474726695238,725.3101799013434,9569.013517952057,60,0.06641185199987376
local_eig,6,16,6,16,1.0,True,662.5284083675306,10600.45453388049,8261.45453388049,41307.27266940246,1885.0,377,320,0.8488063660477454,57,0,374,16,16,16,6,6,1064.3559294246563,4467.458011934925,511.26431934647314,10600.45453388049,40,0.14431901599891717
local_eig,7,12,7,12,1.0,True,911.1298913166382,10933.558695799658,7784.5586957996575,38922.7934789983,2575.0,515,474,0.920388349514563,41,0,514,12,12,12,8,8,1346.9617587128153,5020.211784411585,822.4385325445493,10933.558695799658,60,0.08472123999672476
local_eig,8,11,6,11,1.0,True,977.8790425683007,10756.669468251308,7654.669468251311,38273.34734125654,2540.0,508,471,0.9271653543307087,37,0,507,11,11,11,4,4,1314.1687141849372,5416.486448650444,1079.0223657425688,8906.636518630083,80,0.05782815699785715
local_eig,9,13,8,13,1.0,True,765.1787662393074,9947.323961110997,7201.323961110997,36006.61980555499,2235.0,447,404,0.9038031319910514,43,0,446,13,13,13,6,6,1426.9472887681825,3982.1139631845263,556.5983241377172,8829.176016223711,40,0.057607524999184534
local_eig,10,14,8,14,1.0,True,736.1351737045305,10305.892431863427,7836.892431863427,39184.46215931713,2000.0,400,352,0.88,48,0,399,14,14,14,11,11,1014.8628112905179,5260.835986732874,402.8962107000103,8662.33135523821,40,0.07393224100087536
local_eig,11,13,8,13,1.0,True,825.0220966858137,10725.287256915579,7985.287256915579,39926.43628457789,2230.0,446,403,0.9035874439461884,43,0,445,13,13,13,11,11,972.1978523751534,5852.273505109598,779.6333325363504,10448.100452680656,60,0.06796046099771047
local_eig,12,13,10,13,1.0,True,850.0814514985196,11051.058869480756,8257.058869480754,41285.294347403775,2275.0,455,415,0.9120879120879121,40,0,454,13,13,13,13,13,1845.3181949005557,6469.454147776584,499.54345495147425,9813.359361201217,40,0.04806609300430864
local_eig,13,12,6,12,1.0,True,810.5521799536332,9726.626159443598,7009.626159443598,35048.13079721799,2215.0,443,404,0.9119638826185101,39,0,442,12,12,12,4,4,1857.8016207476112,5082.300876112312,729.8893787302595,7086.259381434371,60,0.041144873001030646
local_eig,14,10,6,10,1.0,True,951.4138072863618,9514.138072863618,6693.138072863618,33465.6903643181,2310.0,462,429,0.9285714285714286,33,0,461,10,10,10,6,6,569.2181025396011,2549.657637179221,690.3586334725998,7350.70417172454,60,0.04933954300213372
